"","chr_1","chr_2"
"1","A","a"
"2","A","A"
"3","a","a"
"4","A","A"
"5","a","A"
"6","a","a"
"7","a","a"
"8","a","A"
"9","a","A"
"10","a","A"
"11","a","a"
"12","A","A"
"13","A","a"
"14","A","a"
"15","a","A"
"16","A","A"
"17","A","a"
"18","a","A"
"19","a","A"
"20","A","A"
"21","a","A"
"22","a","A"
"23","A","a"
"24","a","A"
"25","A","a"
"26","a","A"
"27","A","a"
"28","a","a"
"29","a","a"
"30","A","A"
"31","a","a"
"32","a","A"
"33","A","A"
"34","A","A"
"35","A","A"
"36","A","A"
"37","A","A"
"38","a","a"
"39","a","A"
"40","a","a"
"41","A","A"
"42","a","A"
"43","A","A"
"44","a","A"
"45","a","A"
"46","A","A"
"47","A","a"
"48","A","A"
"49","A","A"
"50","a","A"
"51","A","A"
"52","a","A"
"53","A","a"
"54","a","a"
"55","a","a"
"56","A","a"
"57","a","A"
"58","a","a"
"59","A","a"
"60","a","A"
"61","A","a"
"62","A","A"
"63","a","a"
"64","A","a"
"65","a","A"
"66","a","a"
"67","A","A"
"68","a","A"
"69","a","a"
"70","a","a"
"71","A","A"
"72","a","A"
"73","A","a"
"74","A","a"
"75","a","A"
"76","A","A"
"77","A","A"
"78","A","A"
"79","a","A"
"80","A","a"
"81","a","A"
"82","A","A"
"83","a","A"
"84","A","A"
"85","a","A"
"86","a","A"
"87","a","A"
"88","a","a"
"89","a","A"
"90","A","A"
"91","a","A"
"92","A","A"
"93","A","A"
"94","A","a"
"95","a","a"
"96","a","A"
"97","a","A"
"98","A","A"
"99","A","A"
"100","a","A"
"101","a","a"
"102","A","A"
"103","a","A"
"104","a","A"
"105","A","A"
"106","a","a"
"107","a","A"
"108","a","a"
"109","a","A"
"110","a","a"
"111","A","A"
"112","A","A"
"113","A","A"
"114","A","A"
"115","A","A"
"116","A","a"
"117","a","a"
"118","A","A"
"119","a","A"
"120","a","A"
"121","a","a"
"122","A","A"
"123","A","a"
"124","A","A"
"125","a","a"
"126","A","A"
"127","a","a"
"128","A","A"
"129","a","A"
"130","a","A"
"131","a","A"
"132","a","A"
"133","a","A"
"134","a","A"
"135","a","a"
"136","a","a"
"137","a","A"
"138","A","A"
"139","A","A"
"140","A","A"
"141","a","a"
"142","a","a"
"143","a","a"
"144","A","A"
"145","A","a"
"146","A","A"
"147","A","A"
"148","A","A"
"149","A","A"
"150","a","A"
"151","A","A"
"152","A","A"
"153","a","a"
"154","a","a"
"155","a","a"
"156","a","A"
"157","a","a"
"158","A","A"
"159","a","A"
"160","A","A"
"161","A","A"
"162","a","A"
"163","a","a"
"164","A","a"
"165","A","A"
"166","a","A"
"167","A","a"
"168","a","A"
"169","a","A"
"170","A","A"
"171","A","A"
"172","a","a"
"173","A","a"
"174","A","A"
"175","a","A"
"176","a","A"
"177","a","A"
"178","A","a"
"179","A","A"
"180","a","a"
"181","a","A"
"182","A","A"
"183","a","a"
"184","A","A"
"185","A","A"
"186","A","A"
"187","a","A"
"188","a","A"
"189","A","A"
"190","a","A"
"191","a","A"
"192","a","A"
"193","A","a"
"194","a","a"
"195","a","A"
"196","A","a"
"197","A","A"
"198","a","A"
"199","a","A"
"200","A","A"
"201","A","A"
"202","a","A"
"203","A","A"
"204","A","A"
"205","A","A"
"206","a","A"
"207","a","A"
"208","a","A"
"209","A","A"
"210","a","A"
"211","A","A"
"212","a","a"
"213","A","A"
"214","A","a"
"215","A","a"
"216","A","A"
"217","a","A"
"218","a","a"
"219","A","a"
"220","a","a"
"221","a","A"
"222","a","A"
"223","A","A"
"224","A","a"
"225","A","a"
"226","a","A"
"227","A","A"
"228","a","A"
"229","a","A"
"230","A","A"
"231","A","A"
"232","a","A"
"233","a","A"
"234","a","a"
"235","a","A"
"236","a","a"
"237","a","a"
"238","a","a"
"239","a","A"
"240","A","a"
"241","a","a"
"242","a","a"
"243","a","A"
"244","a","a"
"245","a","A"
"246","A","A"
"247","a","A"
"248","a","A"
"249","a","A"
"250","A","A"
"251","a","a"
"252","A","A"
"253","a","a"
"254","A","A"
"255","A","A"
"256","a","a"
"257","A","a"
"258","A","a"
"259","A","A"
"260","a","A"
"261","A","A"
"262","A","A"
"263","A","a"
"264","a","A"
"265","A","A"
"266","A","A"
"267","A","a"
"268","A","a"
"269","A","A"
"270","a","A"
"271","A","A"
"272","a","A"
"273","A","a"
"274","A","A"
"275","a","A"
"276","A","a"
"277","A","A"
"278","a","a"
"279","A","A"
"280","A","A"
"281","a","a"
"282","a","A"
"283","A","A"
"284","a","A"
"285","a","A"
"286","A","A"
"287","a","A"
"288","A","a"
"289","A","A"
"290","A","A"
"291","a","A"
"292","a","A"
"293","A","A"
"294","A","A"
"295","a","A"
"296","a","A"
"297","A","A"
"298","A","A"
"299","a","A"
"300","A","A"
"301","a","a"
"302","A","A"
"303","A","A"
"304","A","a"
"305","a","a"
"306","a","A"
"307","a","A"
"308","A","A"
"309","A","a"
"310","a","A"
"311","A","a"
"312","A","a"
"313","a","A"
"314","a","A"
"315","a","A"
"316","A","a"
"317","A","A"
"318","a","A"
"319","a","A"
"320","A","A"
"321","a","A"
"322","A","A"
"323","A","A"
"324","a","A"
"325","a","A"
"326","A","A"
"327","a","A"
"328","A","A"
"329","a","A"
"330","A","a"
"331","a","a"
"332","a","A"
"333","A","A"
"334","A","A"
"335","a","A"
"336","A","A"
"337","A","a"
"338","a","A"
"339","A","A"
"340","A","A"
"341","A","A"
"342","A","A"
"343","a","a"
"344","A","a"
"345","a","A"
"346","A","A"
"347","a","A"
"348","A","A"
"349","a","a"
"350","A","A"
"351","A","A"
"352","A","A"
"353","a","A"
"354","a","A"
"355","a","A"
"356","A","a"
"357","a","A"
"358","A","A"
"359","A","A"
"360","a","A"
"361","A","A"
"362","a","A"
"363","a","a"
"364","a","a"
"365","a","A"
"366","A","A"
"367","a","A"
"368","a","A"
"369","a","A"
"370","a","A"
"371","A","A"
"372","a","A"
"373","A","A"
"374","A","A"
"375","a","A"
"376","A","a"
"377","a","a"
"378","a","A"
"379","a","A"
"380","a","A"
"381","A","A"
"382","A","A"
"383","A","A"
"384","A","A"
"385","A","A"
"386","a","A"
"387","A","a"
"388","a","A"
"389","a","A"
"390","a","a"
"391","a","a"
"392","a","A"
"393","a","A"
"394","a","A"
"395","a","A"
"396","a","a"
"397","a","a"
"398","a","A"
"399","a","A"
"400","a","a"
"401","A","A"
"402","a","A"
"403","A","a"
"404","a","a"
"405","a","a"
"406","A","A"
"407","A","A"
"408","a","A"
"409","a","a"
"410","a","A"
"411","A","a"
"412","a","A"
"413","A","A"
"414","A","a"
"415","A","A"
"416","a","A"
"417","A","a"
"418","A","a"
"419","a","a"
"420","a","A"
"421","A","a"
"422","a","A"
"423","A","A"
"424","A","A"
"425","A","a"
"426","a","A"
"427","a","A"
"428","a","A"
"429","a","A"
"430","a","a"
"431","A","A"
"432","a","A"
"433","A","A"
"434","A","A"
"435","a","A"
"436","A","A"
"437","A","A"
"438","A","A"
"439","A","a"
"440","a","A"
"441","a","A"
"442","A","a"
"443","a","A"
"444","A","A"
"445","A","a"
"446","A","A"
"447","A","A"
"448","A","a"
"449","a","a"
"450","a","A"
"451","a","A"
"452","A","A"
"453","A","A"
"454","a","A"
"455","A","a"
"456","a","a"
"457","a","a"
"458","A","a"
"459","A","A"
"460","A","A"
"461","a","a"
"462","a","A"
"463","A","a"
"464","A","A"
"465","a","A"
"466","a","A"
"467","a","a"
"468","A","a"
"469","A","A"
"470","A","a"
"471","A","A"
"472","a","a"
"473","a","A"
"474","a","a"
"475","a","A"
"476","a","A"
"477","a","A"
"478","A","A"
"479","A","a"
"480","A","A"
"481","a","A"
"482","A","a"
"483","a","a"
"484","A","A"
"485","A","A"
"486","a","A"
"487","A","A"
"488","a","A"
"489","A","a"
"490","A","a"
"491","A","A"
"492","A","a"
"493","A","A"
"494","A","A"
"495","a","a"
"496","A","A"
"497","A","a"
"498","a","a"
"499","a","a"
"500","A","A"
"501","A","A"
"502","a","a"
"503","a","A"
"504","A","A"
"505","A","A"
"506","a","A"
"507","A","a"
"508","A","a"
"509","a","A"
"510","A","A"
"511","a","a"
"512","a","A"
"513","A","A"
"514","A","A"
"515","A","A"
"516","A","a"
"517","A","a"
"518","A","A"
"519","a","A"
"520","A","A"
"521","A","A"
"522","a","A"
"523","a","a"
"524","a","A"
"525","A","a"
"526","A","A"
"527","A","a"
"528","a","A"
"529","a","A"
"530","A","a"
"531","A","A"
"532","a","A"
"533","A","A"
"534","A","a"
"535","A","a"
"536","A","A"
"537","a","a"
"538","A","A"
"539","a","a"
"540","a","A"
"541","A","a"
"542","A","A"
"543","a","a"
"544","a","A"
"545","a","A"
"546","a","A"
"547","A","A"
"548","A","A"
"549","a","A"
"550","A","A"
"551","A","A"
"552","A","A"
"553","A","A"
"554","A","A"
"555","A","A"
"556","a","A"
"557","A","A"
"558","a","a"
"559","A","A"
"560","a","A"
"561","a","a"
"562","A","a"
"563","a","A"
"564","A","A"
"565","a","A"
"566","a","A"
"567","A","a"
"568","a","a"
"569","A","A"
"570","a","A"
"571","a","A"
"572","A","A"
"573","a","a"
"574","A","a"
"575","a","A"
"576","a","a"
"577","A","a"
"578","a","a"
"579","a","A"
"580","a","A"
"581","a","A"
"582","A","a"
"583","a","a"
"584","a","a"
"585","A","A"
"586","a","a"
"587","A","A"
"588","A","A"
"589","a","A"
"590","A","a"
"591","A","A"
"592","A","A"
"593","a","a"
"594","A","a"
"595","A","A"
"596","a","A"
"597","A","A"
"598","A","a"
"599","A","A"
"600","A","A"
"601","a","A"
"602","a","A"
"603","a","A"
"604","A","A"
"605","a","A"
"606","a","a"
"607","A","A"
"608","a","A"
"609","a","A"
"610","A","A"
"611","A","A"
"612","A","A"
"613","a","a"
"614","a","a"
"615","a","A"
"616","a","A"
"617","a","a"
"618","A","A"
"619","a","A"
"620","A","a"
"621","a","a"
"622","a","A"
"623","A","A"
"624","a","A"
"625","a","A"
"626","A","a"
"627","a","a"
"628","a","A"
"629","a","A"
"630","A","A"
"631","a","a"
"632","a","A"
"633","a","A"
"634","A","A"
"635","a","A"
"636","a","A"
"637","a","A"
"638","a","a"
"639","A","A"
"640","a","A"
"641","a","a"
"642","A","A"
"643","a","a"
"644","A","a"
"645","A","A"
"646","A","a"
"647","A","a"
"648","A","a"
"649","A","A"
"650","A","a"
"651","a","a"
"652","A","A"
"653","A","A"
"654","a","A"
"655","a","A"
"656","a","A"
"657","A","A"
"658","a","A"
"659","a","a"
"660","a","A"
"661","A","A"
"662","A","A"
"663","A","A"
"664","A","a"
"665","a","A"
"666","A","A"
"667","A","A"
"668","A","A"
"669","A","A"
"670","a","a"
"671","a","A"
"672","a","a"
"673","a","A"
"674","a","A"
"675","a","a"
"676","A","A"
"677","A","A"
"678","a","a"
"679","a","A"
"680","A","A"
"681","A","A"
"682","a","A"
"683","A","A"
"684","A","a"
"685","a","A"
"686","A","A"
"687","a","a"
"688","a","a"
"689","a","A"
"690","a","A"
"691","a","A"
"692","a","a"
"693","A","a"
"694","a","a"
"695","A","A"
"696","A","A"
"697","a","A"
"698","a","a"
"699","A","a"
"700","A","A"
"701","A","a"
"702","A","A"
"703","A","A"
"704","a","A"
"705","a","A"
"706","a","A"
"707","a","A"
"708","a","a"
"709","A","a"
"710","A","A"
"711","a","A"
"712","A","a"
"713","A","A"
"714","a","A"
"715","a","A"
"716","A","A"
"717","A","A"
"718","a","A"
"719","A","A"
"720","a","A"
"721","A","a"
"722","A","A"
"723","A","A"
"724","A","A"
"725","a","A"
"726","a","a"
"727","a","A"
"728","A","A"
"729","A","A"
"730","A","A"
"731","a","A"
"732","a","a"
"733","A","A"
"734","a","A"
"735","a","A"
"736","a","a"
"737","A","A"
"738","a","A"
"739","a","A"
"740","A","A"
"741","A","A"
"742","A","A"
"743","A","A"
"744","a","A"
"745","a","a"
"746","A","A"
"747","A","A"
"748","a","A"
"749","A","A"
"750","A","a"
"751","a","A"
"752","A","A"
"753","A","a"
"754","a","A"
"755","a","A"
"756","A","a"
"757","A","A"
"758","a","A"
"759","A","A"
"760","A","A"
"761","A","a"
"762","a","A"
"763","A","a"
"764","a","A"
"765","A","A"
"766","A","A"
"767","a","A"
"768","A","A"
"769","A","a"
"770","A","A"
"771","a","A"
"772","a","A"
"773","A","a"
"774","a","a"
"775","A","A"
"776","a","A"
"777","a","A"
"778","a","A"
"779","A","A"
"780","a","a"
"781","A","A"
"782","A","A"
"783","A","A"
"784","A","a"
"785","a","A"
"786","a","A"
"787","a","a"
"788","A","A"
"789","a","A"
"790","a","A"
"791","A","A"
"792","a","a"
"793","a","A"
"794","A","A"
"795","A","A"
"796","A","a"
"797","a","A"
"798","a","A"
"799","a","A"
"800","A","A"
"801","A","A"
"802","A","A"
"803","A","A"
"804","a","A"
"805","A","A"
"806","a","A"
"807","a","a"
"808","a","a"
"809","a","A"
"810","A","A"
"811","A","a"
"812","A","A"
"813","a","A"
"814","a","a"
"815","A","A"
"816","a","A"
"817","A","a"
"818","a","a"
"819","A","A"
"820","A","A"
"821","A","a"
"822","A","A"
"823","A","A"
"824","A","A"
"825","A","A"
"826","a","A"
"827","a","a"
"828","a","A"
"829","a","A"
"830","a","A"
"831","A","A"
"832","A","A"
"833","A","A"
"834","A","a"
"835","A","a"
"836","A","A"
"837","A","a"
"838","a","A"
"839","A","A"
"840","a","a"
"841","A","a"
"842","A","A"
"843","A","A"
"844","a","a"
"845","a","A"
"846","A","A"
"847","A","A"
"848","a","A"
"849","A","A"
"850","A","a"
"851","A","a"
"852","a","A"
"853","A","A"
"854","A","a"
"855","a","A"
"856","A","A"
"857","a","A"
"858","A","a"
"859","a","a"
"860","A","a"
"861","A","A"
"862","A","a"
"863","a","A"
"864","a","a"
"865","A","A"
"866","A","A"
"867","a","A"
"868","a","A"
"869","a","A"
"870","a","A"
"871","A","a"
"872","a","a"
"873","a","A"
"874","a","A"
"875","A","a"
"876","a","a"
"877","A","a"
"878","a","A"
"879","a","A"
"880","a","A"
"881","a","A"
"882","A","A"
"883","a","a"
"884","A","A"
"885","a","a"
"886","a","A"
"887","a","A"
"888","a","A"
"889","A","A"
"890","A","a"
"891","A","A"
"892","A","A"
"893","A","A"
"894","A","A"
"895","A","a"
"896","a","A"
"897","A","a"
"898","A","a"
"899","a","A"
"900","A","A"
"901","A","a"
"902","A","a"
"903","A","A"
"904","a","A"
"905","A","a"
"906","A","A"
"907","A","A"
"908","A","A"
"909","A","a"
"910","a","a"
"911","a","A"
"912","a","A"
"913","A","a"
"914","A","A"
"915","A","a"
"916","A","A"
"917","A","A"
"918","A","A"
"919","a","A"
"920","a","A"
"921","a","A"
"922","A","A"
"923","a","a"
"924","A","A"
"925","a","A"
"926","A","A"
"927","a","a"
"928","a","a"
"929","A","a"
"930","A","A"
"931","A","A"
"932","a","a"
"933","A","A"
"934","A","A"
"935","A","A"
"936","A","A"
"937","a","a"
"938","a","A"
"939","A","A"
"940","a","A"
"941","A","a"
"942","a","A"
"943","A","A"
"944","a","A"
"945","a","A"
"946","A","a"
"947","a","A"
"948","a","A"
"949","A","A"
"950","A","a"
"951","A","A"
"952","A","A"
"953","A","A"
"954","A","A"
"955","A","A"
"956","a","A"
"957","a","A"
"958","A","A"
"959","a","A"
"960","a","a"
"961","A","A"
"962","A","A"
"963","a","A"
"964","a","A"
"965","A","A"
"966","A","A"
"967","a","A"
"968","A","A"
"969","A","A"
"970","a","A"
"971","A","A"
"972","A","A"
"973","A","A"
"974","a","A"
"975","A","A"
"976","A","a"
"977","a","A"
"978","A","a"
"979","a","A"
"980","A","A"
"981","A","A"
"982","A","A"
"983","a","a"
"984","A","A"
"985","A","a"
"986","a","A"
"987","A","A"
"988","a","A"
"989","a","a"
"990","a","A"
"991","A","A"
"992","A","A"
"993","a","A"
"994","a","A"
"995","a","A"
"996","A","A"
"997","a","A"
"998","A","A"
"999","A","A"
"1000","A","A"
